Date,Open,High,Low,Close,Adj Close,Volume
2023-04-21,3289.899902,3296.250000,3240.000000,3249.449951,3241.902832,192726
2023-04-24,3250.000000,3285.000000,3246.050049,3268.600098,3261.008545,128145
2023-04-25,3283.899902,3357.199951,3271.000000,3331.350098,3323.612793,417207
2023-04-26,3337.949951,3456.350098,3335.050049,3447.649902,3439.642578,722630
2023-04-27,3449.949951,3482.000000,3430.000000,3439.449951,3431.461670,482821
2023-04-28,3450.000000,3468.949951,3431.050049,3449.600098,3441.588135,451470
2023-05-02,3462.199951,3528.750000,3450.050049,3500.100098,3491.970947,344626
2023-05-03,3500.000000,3548.500000,3470.399902,3540.899902,3532.676025,347080
2023-05-04,3543.000000,3596.899902,3532.000000,3578.350098,3570.039063,400532
2023-05-05,3589.949951,3644.100098,3581.000000,3634.449951,3626.008789,349447
2023-05-08,3649.949951,3700.000000,3620.649902,3689.750000,3681.180420,323554
2023-05-09,3723.000000,3724.250000,3632.399902,3664.600098,3656.088867,474423
2023-05-10,3680.000000,3759.800049,3665.250000,3714.449951,3705.822998,561123
2023-05-11,3721.399902,3812.000000,3708.500000,3797.050049,3788.231201,516601
2023-05-12,3835.000000,3938.399902,3791.800049,3891.050049,3882.012939,1229943
2023-05-15,3914.000000,3925.300049,3819.250000,3833.399902,3824.496582,472666
2023-05-16,3856.000000,3914.949951,3846.000000,3872.000000,3863.007080,362842
2023-05-17,3888.000000,3918.399902,3840.550049,3891.199951,3882.162354,373120
2023-05-18,3919.000000,3919.000000,3822.100098,3832.250000,3823.349365,403526
2023-05-19,3841.149902,3878.000000,3619.050049,3722.699951,3714.053711,737307
2023-05-22,3600.100098,3606.000000,3314.050049,3399.699951,3391.803955,4935790
2023-05-23,3416.949951,3432.000000,3368.050049,3410.600098,3402.678711,1031482
2023-05-24,3410.600098,3482.699951,3376.000000,3431.000000,3423.031250,861660
2023-05-25,3438.000000,3498.550049,3418.300049,3487.250000,3479.150635,735424
2023-05-26,3500.000000,3545.000000,3478.949951,3519.399902,3511.225830,443484
2023-05-29,3550.000000,3554.000000,3491.000000,3512.699951,3504.541504,497135
2023-05-30,3533.000000,3605.000000,3520.149902,3559.699951,3551.432373,797193
2023-05-31,3560.000000,3578.600098,3522.850098,3551.649902,3543.401123,1927298
2023-06-01,3551.649902,3559.699951,3518.000000,3534.300049,3526.091553,197495
2023-06-02,3539.000000,3569.949951,3526.699951,3552.649902,3544.398682,233641
2023-06-05,3552.649902,3583.699951,3512.050049,3522.000000,3513.820068,217131
2023-06-06,3525.050049,3593.000000,3516.199951,3586.250000,3577.920654,310048
2023-06-07,3615.000000,3659.850098,3600.000000,3653.899902,3645.413574,576222
2023-06-08,3668.949951,3673.600098,3612.050049,3659.449951,3650.950684,395757
2023-06-09,3674.949951,3695.449951,3631.050049,3658.550049,3650.052979,273260
2023-06-12,3679.000000,3679.949951,3638.000000,3658.399902,3649.903076,120613
2023-06-13,3655.000000,3742.199951,3645.050049,3734.399902,3725.726563,301398
2023-06-14,3749.000000,3769.350098,3726.600098,3763.199951,3754.459717,248920
2023-06-15,3768.000000,3778.000000,3730.550049,3751.699951,3742.986328,249510
2023-06-16,3746.649902,3799.000000,3740.000000,3793.100098,3784.290527,306264
2023-06-19,3802.000000,3838.000000,3783.350098,3807.699951,3798.856445,228208
2023-06-20,3830.000000,3840.000000,3795.399902,3829.399902,3820.505859,319316
2023-06-21,3835.000000,3859.899902,3780.100098,3802.250000,3793.418945,359152
2023-06-22,3808.000000,3810.000000,3680.399902,3688.850098,3680.282471,347354
